,Value,Club
SC Bastia,-0.6337479245623042,Montpellier
Marítimo,-0.6154843870192243,FC Porto
AC Cesena,-0.5997190584760699,Sassuolo
Rafaela,-0.5993539307453615,CA Huracán
Leicester,-0.5969605187667147,TSG Hoffenheim
Olimpo,-0.5923468535132672,Newell's
FC Empoli,-0.5855239663562202,SSC Napoli
San Lorenzo,-0.5613827588204492,Sporting CP
Kasimpasa,-0.552947174006976,Galatasaray
Konyaspor,-0.5490789413332691,Balikesirspor
CA Huracán,-0.5226114450673472,River Plate
Boca Juniors,-0.5130468571443958,CD Godoy Cruz
SD Eibar,-0.5094271958914947,Málaga CF
Newell's,-0.5020429903993427,Gimnasia
Everton,-0.4929418415388189,Man City
Eskisehirspor,-0.4915454104291155,Trabzonspor
Belenenses,-0.4905859126046697,Levante UD
Estoril,-0.48872035263530317,FC Nantes
Valletta,-0.4577826064336857,QFC
Rizespor,-0.4513442079115232,Udinese Calcio
Nueva Chicago,-0.4495532029272165,Newell's
Cagliari Calcio,-0.4410615783899382,Fiorentina
Unión Santa Fé,-0.44073851522460133,CA Rosario
Marseille,-0.43220051730339987,FC Porto
Racing Club,-0.43088350335844916,River Plate
Werder Bremen,-0.4294127582822447,SC Freiburg
FC Schalke 04,-0.4262654630519459,VfL Wolfsburg
Arsenal FC,-0.4259044443405614,CA Lanús
Aldosivi,-0.42448284275785575,Racing Club
CD Godoy Cruz,-0.4233254182716493,CA Rosario
SSC Napoli,-0.4081965886493879,Juventus
Rio Ave FC,-0.4065197604996952,Braga
Granada CF,-0.4049668099221244,1.FSV Mainz 05
CA Colón,-0.4042687569595489,River Plate
Bayern Munich ,-0.4022768280698142,Bor. Dortmund
FC Metz,-0.40134188031756185,Marseille
Montpellier,-0.38660208586284966,US Palermo
Sporting CP,-0.3837354953660422,Leicester
Swansea,-0.38019938096578715,LOSC Lille
Braga,-0.3752809467823204,Benfica
Málaga CF,-0.37027387857654975,Olympique Lyon
CA Banfield,-0.3692892647230343,River Plate
Gimnasia,-0.3691774565124187,CA Lanús
Córdoba CF,-0.3660577863629084,Rayo Vallecano
Lens,-0.3622154180934309,LOSC Lille
CA Tucumán,-0.36111054375407825,CA Huracán
Lazio,-0.3591199761592848,Trabzonspor
Levante UD,-0.3561547680674771,Sporting Gijón
Trabzonspor,-0.35259469698226975,Eskisehirspor
Udinese Calcio,-0.35256698509785966,SSC Napoli
Villarreal CF,-0.3512358080361272,Atlético Madrid
CA Lanús,-0.3469014714139084,Benfica
US Palermo,-0.3451696176181612,Juventus
Stade Rennais,-0.3450491866739831,Bor. Dortmund
West Ham,-0.34368260038575144,Fiorentina
CA Tigre,-0.33868511309574356,River Plate
1.FSV Mainz 05,-0.33847349821995854,QPR
CA Rosario,-0.33742697663432103,Benfica
Toulouse,-0.33736432465468674,Sevilla FC
Chievo Verona,-0.3350678540795878,Swansea
Genoa,-0.3345619848516172,AS Roma
Real Sociedad,-0.33268988998403587,FC Augsburg
West Brom,-0.32731571489683775,San Lorenzo
Arsenal,-0.3245770235171817,Werder Bremen
Mersin IY,-0.3238945539202381,Genclerbirligi
Aston Villa,-0.3217395504556487,Liverpool
Southampton,-0.31693384896051796,Liverpool
Crystal Palace,-0.31677499219058003,Everton
Arouca,-0.3135314121670501,FC Nantes
Mosta FC,-0.3126974041408111,Balzan FC
Stoke City,-0.31205584985731794,Sevilla FC
Hellas Verona,-0.3115822761825044,Cagliari Calcio
Monaco,-0.310609433425567,Marseille
UD Almería,-0.30631110060473743,Levante UD
Inter,-0.30267881049790657,Estudiantes
Defensa,-0.301408817996105,CA Rosario
Atlético Madrid,-0.2990368935895431,Fiorentina
Hull City,-0.2987853162573103,Trabzonspor
Balikesirspor,-0.29780437958116285,Akhisarspor
FC Lorient,-0.29745680392053075,Bor. Dortmund
Gaziantepspor,-0.29696774572745455,Trabzonspor
Man Utd,-0.29227793479370034,Paris SG
TSG Hoffenheim,-0.2905058876019084,Bursaspor
Bor. M'gladbach,-0.2838158064538535,VfL Wolfsburg
AC Milan,-0.28042918955266033,FC Empoli
Guingamp,-0.2781374499725678,Olympique Lyon
River Plate,-0.27787836834331436,Braga
Liverpool,-0.27242225789046715,Man City
Man City,-0.27114478804331527,Marseille
Hertha BSC,-0.26889376531695847,Galatasaray
Estudiantes,-0.2676507866005278,Unión Santa Fé
FC Nantes,-0.26500380888437053,Marseille
OGC Nice,-0.25889477915125936,Leicester
Spurs,-0.2568624292843127,Hull City
Sampdoria,-0.2511688546427717,SSC Napoli
Bursaspor,-0.25103273923047437,Galatasaray
SM Caen,-0.25020337734083664,Leicester
SC Paderborn,-0.2494086182019951,FC Ingolstadt
Elche CF,-0.2486437055963111,Real Sociedad
LOSC Lille,-0.2462368694474395,VfB Stuttgart
G. Bordeaux,-0.24373659734109238,FC Nantes
FC Barcelona,-0.2409452335618755,Chelsea
Besiktas,-0.23914732441392475,AC Milan
Bay. Leverkusen,-0.23823560628444443,Spurs
SC Freiburg,-0.2363071830331127,Hannover 96
Argentinos,-0.23554228854008138,Granada CF
Hamburger SV,-0.23544012451955862,Bay. Leverkusen
FC Porto,-0.23540579005681497,Vit. Guimarães
Reims,-0.2353317480334233,FC Lorient
Saint-Étienne,-0.2325523548799773,Hannover 96
Valencia CF,-0.22942671793871508,FC Barcelona
FC Augsburg,-0.22675155919179513,Hertha BSC
VfB Stuttgart,-0.22644622538007733,TSG Hoffenheim
Paços Ferreira,-0.22379098755131976,Braga
E. Frankfurt,-0.22298859293589873,SC Freiburg
Torino,-0.221823259388207,Monaco
Real Madrid,-0.22029987129061981,E. Frankfurt
QPR,-0.22001082742248304,Swansea
Benfica,-0.21799884579757225,Valencia CF
Vit. Guimarães,-0.21690654427843825,FC Porto
Galatasaray,-0.21672851754582426,FC Porto
Juventus,-0.21296468010421482,Sassuolo
Paris SG,-0.2098815585345634,Chelsea
Bor. Dortmund,-0.20864993968792295,VfB Stuttgart
Chelsea,-0.20628516320905754,VfL Wolfsburg
FC Ingolstadt,-0.2004463280942392,Werder Bremen
Atalanta,-0.19893760810878888,Genoa
Vitória Setúbal,-0.19740550291509126,FC Porto
1. FC Köln,-0.19504097266910203,TSG Hoffenheim
Hannover 96,-0.18963662145872545,Sevilla FC
VfL Wolfsburg,-0.17919160760323713,Bor. Dortmund
Dep. La Coruña,-0.17619689605166533,Arsenal
Fenerbahce,-0.17472110154956966,Valencia CF
Sevilla FC,-0.17261637609497554,Atlético Madrid
Espanyol,-0.1710456979545079,Villarreal CF
Fiorentina,-0.1693371397983422,Chelsea
Getafe CF,-0.16779096131869578,Sevilla FC
Sunderland,-0.16421764599027303,Boca Juniors
Olympique Lyon,-0.1607314916645943,Spurs
Sassuolo,-0.16067758890466968,Atalanta
AS Roma,-0.15595878525319323,AC Milan
Celta de Vigo,-0.151544640332265,Man City
Belgrano,-0.12249292328509774,Racing Club
Parma,-0.10450007592764626,AC Milan
Boavista,-0.10376849204839945,Stade Rennais
Akhisarspor,-0.0948581680503668,Trabzonspor
QFC,-0.03552328423592471,Lens
Genclerbirligi,-0.03552328423592471,Lens
K. Erciyesspor,-0.03552328423592471,Lens
Athletic Bilbao,-0.03552328423592471,Lens
Sivasspor,-0.03552328423592471,Lens
Rayo Vallecano,-0.03552328423592471,Lens
Birkirkara FC,-0.03552328423592471,Lens
Balzan FC,-0.03552328423592471,Lens
Sporting Gijón,-0.03552328423592471,Lens
